,Title,Artist,Release Year,Genius_Link
987,You Turn Me On,Ian Whitcomb,1965,https://genius.com/Ian-whitcomb-and-bluesville-you-turn-me-on-turn-on-song-lyrics
988,I'll Be Doggone,Marvin Gaye,1965,https://genius.com/Marvin-gaye-ill-be-doggone-lyrics
989,Save Your Heart for Me,Gary Lewis & the Playboys,1965,https://genius.com/Gary-lewis-and-the-playboys-save-your-heart-for-me-lyrics
990,Tired of Waiting for You,The Kinks,1965,https://genius.com/The-kinks-tired-of-waiting-for-you-lyrics
991,Count Me In,Gary Lewis & the Playboys,1965,https://genius.com/Gary-lewis-and-the-playboys-count-me-in-lyrics
992,All Day and All of the Night,The Kinks,1965,https://genius.com/The-kinks-all-day-and-all-of-the-night-lyrics
993,What the World Needs Now Is Love,Jackie DeShannon,1965,https://genius.com/Jackie-deshannon-what-the-world-needs-now-is-love-lyrics
994,It's Not Unusual,Tom Jones,1965,https://genius.com/Tom-jones-its-not-unusual-lyrics
995,She's About a Mover,Sir Douglas Quintet,1965,https://genius.com/Sir-douglas-quintet-shes-about-a-mover-lyrics
996,Shake,Sam Cooke,1965,https://genius.com/Sam-cooke-shake-lyrics
997,Wonderful World,Herman's Hermits,1965,https://genius.com/Hermans-hermits-wonderful-world-lyrics
998,Nowhere to Run,Martha and the Vandellas,1965,https://genius.com/Martha-reeves-and-the-vandellas-nowhere-to-run-lyrics
999,Heart Full of Soul,The Yardbirds,1965,https://genius.com/The-yardbirds-heart-full-of-soul-lyrics
1000,Love Potion No. 9,The Searchers,1965,https://genius.com/The-searchers-love-potion-no-9-lyrics
1001,Laurie (Strange Things Happen),Dickey Lee,1965,https://genius.com/Dickey-lee-laurie-strange-things-happen-lyrics
1002,Baby Don't Go,Sonny & Cher,1965,https://genius.com/Sonny-and-cher-baby-dont-go-lyrics
1003,It Ain't Me Babe,The Turtles,1965,https://genius.com/The-turtles-it-aint-me-babe-lyrics
1004,Tell Her No,The Zombies,1965,https://genius.com/The-zombies-tell-her-no-lyrics
1005,I Go to Pieces,Peter and Gordon,1965,https://genius.com/Peter-and-gordon-i-go-to-pieces-lyrics
1006,Red Roses for a Blue Lady,Vic Dana,1965,https://genius.com/Vic-dana-red-roses-for-a-blue-lady-lyrics
1007,Don't Just Stand There,Patty Duke,1965,https://genius.com/Patty-duke-dont-just-stand-there-lyrics
1008,The Tracks of My Tears,The Miracles,1965,https://genius.com/Smokey-robinson-and-the-miracles-the-tracks-of-my-tears-lyrics
1009,Too Many Rivers,Brenda Lee,1965,https://genius.com/Brenda-lee-too-many-rivers-lyrics
1010,I Like It Like That,The Dave Clark Five,1965,https://genius.com/The-dave-clark-five-i-like-it-like-that-lyrics
1011,Little Things,Bobby Goldsboro,1965,https://genius.com/Bobby-goldsboro-little-things-lyrics
1012,True Love Ways,Peter and Gordon,1965,https://genius.com/Peter-and-gordon-true-love-ways-lyrics
1013,It's the Same Old Song,Four Tops,1965,https://genius.com/The-four-tops-its-the-same-old-song-lyrics
1014,You've Got Your Troubles,The Fortunes,1965,https://genius.com/The-fortunes-uk-group-youve-got-your-troubles-lyrics
1015,Hold What You've Got,Joe Tex,1965,https://genius.com/Joe-tex-hold-what-youve-got-lyrics
1016,We Gotta Get Out of This Place,The Animals,1965,https://genius.com/The-animals-we-gotta-get-out-of-this-place-lyrics
1017,"Laugh, Laugh",The Beau Brummels,1965,https://genius.com/The-beau-brummels-laugh-laugh-lyrics
1018,The Last Time,The Rolling Stones,1965,https://genius.com/The-rolling-stones-the-last-time-lyrics
