,Year,anger_lyrics,disgust_lyrics,fear_lyrics,negative_lyrics,sadness_lyrics,positive_lyrics,joy_lyrics,trust_lyrics,anticipation_lyrics,surprise_lyrics,positive_stateofunion,trust_stateofunion,anticipation_stateofunion,joy_stateofunion,surprise_stateofunion,negative_stateofunion,disgust_stateofunion,fear_stateofunion,anger_stateofunion,sadness_stateofunion
23,1975,1.1313225402901992,0.7770472248151679,1.4997445426428506,2.4226797013120254,1.5518744789309074,6.2816073201746265,4.75822652102789,2.565503923673897,2.75691240235736,1.3982702978496049,6.806782899450681,5.111058036780511,2.4122283257702413,1.6718414139001672,0.7403869118700741,3.5108669691903507,1.1225220921901122,1.4807738237401482,0.9314545020300932,1.4807738237401482
24,1976,1.3993577655851523,0.9648677277046708,1.4123608377005865,2.4841134463384296,2.1788073618941115,7.032452833476715,5.683591518508707,2.856149906766483,3.2914513274533173,1.9104917392856142,7.712184456370502,5.744384814152256,2.7429934406678593,2.484595507851322,0.8547008547008548,3.875968992248062,1.03359173126615,2.862254025044723,1.5702643609620353,1.6497714172132776
25,1977,1.3715900669002046,0.9699246786834476,1.4278001234737783,2.7160573887971546,1.9167727262400507,5.645671665643715,4.420865089713869,2.4333821789102346,2.4591891251445097,1.2089386761798995,9.466834592779177,6.528127623845507,3.4214945424013434,2.980688497061293,1.112510495382032,3.5264483627204033,1.0075566750629723,2.749790092359362,1.343408900083963,1.322418136020151
26,1978,1.4694600678119218,1.0140740505706205,1.6957461430346104,3.3150866805838306,2.4285185564317042,6.324594837373021,4.949094311378717,3.0175296520214707,2.6356417737847804,1.871193243901518,8.115070845856591,5.817947617003005,3.069987118935165,2.4259338772005155,1.051953628166595,3.714040360669815,0.6655216831258051,2.382996994418205,1.03048518677544,1.5027908973808501
27,1979,1.5606193151827714,1.0045221424367614,1.7081862544317652,2.6062837767075493,1.983526484937987,6.737549661763777,5.250934963406845,2.5667185947562197,2.6247341561938224,1.1987157008737708,9.945913461538462,6.820913461538461,3.395432692307692,2.734375,0.7211538461538461,3.7259615384615383,0.8713942307692308,3.0048076923076925,1.5625,0.9314903846153846
28,1980,1.7677127881132848,1.0796070414464842,1.7800501441183971,3.516604106538857,2.287815716368315,5.474281975099893,3.867583152898,1.9079281905263479,3.1369502647602636,1.1267680395183348,8.567375886524822,5.843971631205673,3.6595744680851063,2.4680851063829787,0.7943262411347518,3.0638297872340425,0.5390070921985816,3.3475177304964543,2.0425531914893615,1.0212765957446808
29,1982,1.5388830918060767,0.754983106604878,1.7063513037991977,2.5420351423809304,1.8519359651960987,5.205207342102,3.9763683576470754,2.0347316658174166,2.492316908785188,1.1050424719802932,6.767485822306238,5.198487712665406,3.100189035916824,2.438563327032136,0.9829867674858223,4.045368620037807,0.888468809073724,2.4763705103969755,1.2287334593572778,1.3421550094517958
30,1983,1.703672855796522,0.9772544636940685,1.6392571826266698,3.4264120952890322,2.0208364332667417,5.380675056444231,3.973645346185343,2.6273941877980946,2.6192833317999766,1.2974550290744284,7.833127970427742,4.963914803731737,3.062841049111072,2.129906706565745,0.7217039253652526,3.6261221615912693,0.8801267382503081,2.305932054215807,1.320190107375462,1.4610103854955112
31,1984,1.6861820015078284,1.1602483543481157,2.1677142131515916,3.530854041670182,2.3437714925004847,4.999883485336579,3.7807845173658534,2.247878222084467,2.897765316218736,1.619051345203368,9.345979055522625,6.283343212803794,4.2284133570440625,4.050582888757162,1.3040901007705987,3.754198774945663,0.9879470460383323,2.7860106698280975,1.3831258644536653,1.5609563327405651
32,1985,1.6979103981011834,0.8987641717722922,2.0945813799687305,2.9464388767766554,1.9058561010810786,6.010121543127889,4.304674962148798,2.767970385013204,2.9308515620833826,1.8958863780652742,8.839907192575406,5.545243619489559,4.106728538283062,3.341067285382831,1.2761020881670533,3.4106728538283058,0.765661252900232,2.8306264501160094,1.531322505800464,1.716937354988399
33,1986,2.1745339893701634,1.5346653051588828,2.4194005765626545,3.740237019250797,2.440640783775439,5.925884378337592,4.377777825618941,2.463487325306964,2.295538368384304,1.3221202938132863,8.508845829823084,5.391743892165122,3.4260039314799213,3.285593934288121,0.8143779837124403,4.015725919685482,1.0671159786576805,2.976691940466161,1.9657399606852008,1.8814939623701208
34,1987,1.5485530533262106,0.8785183999699226,1.6986505997283474,2.8266448202051953,1.8310556026548115,5.502540374704181,4.095557415344531,2.582476816165522,2.6477607052376357,1.1371860706792576,6.6529668636013355,5.31723606473157,2.4659645517595687,2.645774466992037,1.1816080143847931,3.2365784741844337,1.1816080143847931,1.9779090675571538,1.3871050603647572,1.1816080143847931
